Country names,RCT_ID,RCT_ID_duplicates,country,region_detail,continent,continent_region,country_count,region_count,is_multi_country,is_multi_region,is_online
Congo (Democratic Republic of the) (Sub-Saharan Africa); Egypt (Meadle East and North Africa); Tunisia (Meadle East and North Africa),AEARCTR-0009078,AEARCTR-0009078_2,Egypt,No additional info,Africa,North Africa,3,0,True,False,False
Congo (Democratic Republic of the) (Sub-Saharan Africa); Egypt (Meadle East and North Africa); Tunisia (Meadle East and North Africa),AEARCTR-0009078,AEARCTR-0009078_3,Tunisia,No additional info,Africa,North Africa,3,0,True,False,False
Italy (Emilia-Romagna ),AEARCTR-0009080,AEARCTR-0009080,Italy,Emilia-Romagna,Europe,Southern Europe,1,1,False,False,False
Uganda (Busoga),AEARCTR-0009081,AEARCTR-0009081,Uganda,Busoga,Africa,East Africa,1,1,False,False,False
Private,AEARCTR-0009082,AEARCTR-0009082,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Guinea-Bissau (),AEARCTR-0009083,AEARCTR-0009083,Guinea-Bissau,No additional info,Africa,West Africa,1,0,False,False,False
United Kingdom of Great Britain and Northern Ireland (),AEARCTR-0009084,AEARCTR-0009084,United Kingdom of Great Britain and Northern Ireland,No additional info,Europe,Northern Europe,1,0,False,False,False
Switzerland (),AEARCTR-0009085,AEARCTR-0009085,Switzerland,No additional info,Europe,Western Europe,1,0,False,False,False
Private,AEARCTR-0009086,AEARCTR-0009086,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009087,AEARCTR-0009087,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (Pennsylvania),AEARCTR-0009088,AEARCTR-0009088,United States of America,Pennsylvania,North America,North America,1,1,False,False,False
Private,AEARCTR-0009089,AEARCTR-0009089,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009092,AEARCTR-0009092,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Iran (Islamic Republic of) (),AEARCTR-0009096,AEARCTR-0009096,Iran,No additional info,Asia,Middle East and North Africa,1,0,False,False,False
Private,AEARCTR-0009097,AEARCTR-0009097,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
"India (Uttar Pradesh, and Bihar)",AEARCTR-0009098,AEARCTR-0009098,India,"Uttar Pradesh, and Bihar",Asia,South Asia,1,1,False,False,False
Private,AEARCTR-0009099,AEARCTR-0009099,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
